id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,2024-01-02,15.8905264223,50452409.349026638
3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,2024-01-02,10.7191818981,19798169.933318188
3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,2024-01-02,15.6702817644,24984732.559194501
3608936,(2012 SD22),20.05,0.2597496533,0.580817882,2024-01-02,11.0227943004,24597313.435094098
2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,2024-01-02,15.6702896005,24984795.0462248
2669051,669051 (2012 SD22),20.06,0.2585562121,0.5781492662,2024-01-02,11.0227939533,24597309.695147348
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.100506025
2096590,96590 (1998 XB),16.28,1.474195145,3.2964005564,2024-01-03,10.2563505817,40361230.81390855
3154493,(2003 JV14),21.39,0.1401376972,0.3133574171,2024-01-03,13.6603242742,39218727.406507018
3595775,(2012 AB11),22.32,0.0913177026,0.2041925905,2024-01-03,18.3613912555,42945020.553389349
3751529,(2016 GZ215),21.08,0.1616422833,0.3614431336,2024-01-03,3.7257304746,47416427.494974327
2668499,668499 (2012 AB11),22.32,0.0913177026,0.2041925905,2024-01-03,18.3613912419,42945020.568349136
2676480,676480 (2016 GZ215),21.08,0.1616422833,0.3614431336,2024-01-03,3.725730427,47416427.48001454
2304640,304640 (2006 WW1),19.18,0.3877528304,0.8670416872,2024-01-06,23.0326070401,45511419.360965204
3102756,(2002 AO11),23.05,0.065246163,0.1458948557,2024-01-06,18.4313859429,60009526.330604256
3630638,(2013 EU9),21.66,0.1237527837,0.2767196367,2024-01-06,6.4568616725,68747709.969814543
3794988,(2017 YZ1),20.43,0.2180494405,0.4875733714,2024-01-06,12.2272943072,72151871.794217611
2585310,585310 (2017 YZ1),20.43,0.2180494405,0.4875733714,2024-01-06,12.2272942727,72151868.15898937
2591179,591179 (2013 EU9),21.66,0.1237527837,0.2767196367,2024-01-06,6.4568624469,68747717.674104848
2138971,138971 (2001 CB21),18.52,0.5254785303,1.1750057146,2024-01-05,9.3104029087,60967071.284835805
2138893,138893 (2000 YH66),18.17,0.6173834405,1.3805113411,2024-01-07,32.9996711998,41803686.253341867
2199003,199003 (2005 WJ56),18.16,0.620233153,1.3868834919,2024-01-07,15.2908367194,29849942.908459363
2434188,434188 (2003 AD23),19.09,0.4041615334,0.9037326626,2024-01-07,33.8373421713,30564937.56560343
3147312,(2003 BN1),20.59,0.2025606009,0.4529392731,2024-01-13,32.0921477759,23819476.10863468
3266506,(2005 BH14),21.44,0.1369477737,0.3062245314,2024-01-12,17.4495318432,48698372.004509653
2430804,430804 (2005 AD13),17.89,0.7023522477,1.57050737,2024-01-14,29.0073806068,20388991.117825347
2456946,456946 (2008 AF32),21.26,0.1487835705,0.3326901775,2024-01-14,15.4778854481,38618399.935591987
2168318,168318 (1989 DA),18.91,0.439091446,0.9818383215,2024-01-08,8.8851478203,17607387.097578032
3102728,(2002 AY1),20.85,0.1797028549,0.4018277992,2024-01-08,17.3391710732,5803011.720688912
3781028,(2017 QP17),19.6,0.3195618867,0.7145621017,2024-01-09,20.4028017464,58688124.051435387
2678263,678263 (2017 QP17),19.58,0.3225187565,0.7211738634,2024-01-09,20.4027975978,58688123.079049232
3092124,(1994 GL),25.5,0.0211132445,0.0472106499,2024-01-11,7.9110407383,68392432.770871925
3363430,(2006 XY2),22.5,0.0840533402,0.1879489824,2024-01-11,9.2537526551,50573342.875874447
3722209,(2015 MO66),20.1,0.2538370294,0.5675968529,2024-01-11,21.5899798148,48943737.823269257
2604197,604197 (2015 MO66),20.1,0.2538370294,0.5675968529,2024-01-11,21.5899774047,48943736.192652474
2004034,4034 Vishnu (1986 PA),18.52,0.5254785303,1.1750057146,2024-01-10,16.4463586318,60404347.647070981
2354182,354182 (2002 DU3),20.77,0.1864468183,0.41690776,2024-01-10,7.1549808073,60183229.458909475
2438661,438661 (2008 EP6),19.23,0.3789264984,0.8473054089,2024-01-10,10.7126771692,23088209.212457529
3409964,(2008 JG),20.84,0.1805323255,0.4036825521,2024-01-10,7.7889870854,13409422.802189998
54245585,(2022 CV2),22.99,0.0670741189,0.1499822895,2024-01-10,8.7899209008,17987088.961238106
2613986,613986 (2008 JG),20.81,0.1830437804,0.4092983358,2024-01-10,7.7889862947,13409432.870126649
2380476,380476 (2003 YO1),19.35,0.3585543342,0.8017518649,2024-01-15,9.4111274411,50543385.049699088
3312035,(2006 AM8),19.59,0.3210369174,0.7178603705,2024-01-15,39.5920533483,64141071.460559701
3632236,(2013 EH89),20.18,0.2446554962,0.5470663205,2024-01-15,9.4885247624,15343813.244408803
2670011,670011 (2013 EH89),20.08,0.2561857545,0.5728487619,2024-01-15,9.488525687,15343807.679368039
3009717,(1997 AC11),20.68,0.1943367684,0.4345502246,2024-01-17,16.2394388797,38744735.995037615
2042286,42286 (2001 TN41),16.65,1.2432400055,2.7799691647,2024-01-16,9.8716049671,72441875.493095461
2508767,508767 (1993 BD2),18.2,0.6089126221,1.3615700154,2024-01-16,12.8547670552,74157207.335827985
2264357,264357 (2000 AZ93),21.17,0.1550797087,0.3467687706,2024-01-19,24.0143933935,72841929.279301389
2308041,308041 (2004 TN),18.98,0.425162524,0.9506923052,2024-01-19,12.1667418528,35395665.411356061
2523657,523657 (2012 DJ4),20.39,0.2221032822,0.4966380371,2024-01-18,4.1615551077,65624920.256627343
3077026,(2001 KM20),23.91,0.0439091446,0.0981838322,2024-01-18,8.0946798094,67109929.917206398
3252917,(2004 RQ252),22.5,0.0840533402,0.1879489824,2024-01-18,11.9060569246,46960953.397612246
3255980,(2004 TP1),20.7,0.1925550782,0.4305662442,2024-01-18,9.258607498,33871388.808186435
3283227,(2005 MR5),20.24,0.2379879547,0.5321572445,2024-01-18,20.8293562162,64144518.045886631
3792468,(2017 YH),18.12,0.6317641482,1.4126675811,2024-01-18,11.6051420663,27297254.401593907
2612856,612856 (2004 TP1),20.75,0.1881719895,0.42076536,2024-01-18,9.2586071799,33871389.256980045
2678861,678861 (2017 YH),18.12,0.6317641482,1.4126675811,2024-01-18,11.6051416987,27297253.578805622
2001685,1685 Toro (1948 OA),14.28,3.7030107822,8.2801838305,2024-01-20,16.1740893698,19905935.69109094
2483508,483508 (2003 CR1),20.02,0.263363131,0.5888978636,2024-01-20,11.910803757,12757787.944278298
3327141,(2006 EW52),22.4,0.0880146521,0.1968067451,2024-01-20,6.7126064461,60209776.378849899
2068350,68350 (2001 MK3),16.14,1.5723708236,3.5159280475,2024-01-21,16.5629747761,60922713.676327004
