date,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
2024-01-01,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
2024-02-01,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
2024-03-01,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
2024-04-01,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
2024-05-01,20.6,1010.3,11.9,22.0,31.9,26.6,16.0
2024-06-01,20.6,1016.2,7.4,20.8,25.4,22.8,16.0
2024-07-01,27.0,1020.1,9.8,20.4,24.7,34.7,17.1
2024-08-01,40.1,1015.5,17.1,23.3,38.1,45.5,32.9
2024-09-01,34.6,1022.9,11.2,23.5,37.1,42.1,29.7
2024-10-01,26.0,1029.8,9.7,20.4,37.1,41.9,20.3
2024-11-01,36.3,1024.8,21.1,29.5,46.2,40.5,24.8
2024-12-01,23.7,1011.7,20.9,34.2,49.7,35.4,11.3
2024-01-13,17.0,1019.2,29.6,36.3,58.7,24.4,10.0
2024-01-14,13.6,1025.6,24.2,28.6,45.8,18.5,11.5
2024-01-15,17.3,1014.3,25.0,32.8,46.6,21.0,12.9
2024-01-16,22.9,1010.3,27.7,36.1,57.7,27.7,17.8
2024-01-17,20.4,1007.8,19.6,26.8,37.7,25.3,16.9
2024-01-18,26.7,1002.5,20.4,30.5,43.1,29.5,19.6
2024-01-19,23.3,1003.2,9.5,18.6,28.4,28.4,18.0
2024-01-20,30.6,988.8,14.4,20.8,29.5,33.1,22.8
2024-01-21,32.6,967.1,14.4,27.2,35.7,34.9,30.6
2024-01-22,25.2,969.6,17.9,28.0,46.2,32.5,19.0
2024-01-23,26.3,982.2,14.2,24.9,46.0,31.5,21.4
2024-01-24,28.2,987.8,6.3,15.2,26.6,33.8,19.9
2024-01-25,34.9,984.6,16.6,28.9,38.1,37.4,32.4
2024-01-26,32.0,974.8,18.6,31.9,44.7,37.4,25.5
2024-01-27,29.1,972.0,24.5,32.1,41.6,34.0,23.5
2024-01-28,23.4,976.2,15.6,26.2,38.9,27.1,21.7
2024-01-29,23.1,983.8,13.8,21.6,40.2,27.5,19.4
2024-01-30,25.5,986.2,15.0,24.3,31.5,28.9,19.4
2024-01-31,22.7,981.9,17.3,31.9,45.3,25.9,18.7
2024-01-02,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2024-02-02,17.9,983.1,10.8,21.0,28.9,21.7,16.0
2024-03-02,21.2,985.1,18.0,27.4,41.2,23.5,16.7
2024-04-02,19.9,994.6,17.8,25.6,39.8,23.5,16.9
2024-05-02,25.2,991.8,19.4,29.7,51.9,32.7,17.8
2024-06-02,28.8,1005.6,15.7,25.1,35.5,32.0,24.1
2024-07-02,26.4,1009.2,18.7,24.3,35.4,30.6,23.9
2024-08-02,25.5,1007.6,14.8,21.2,27.8,27.0,23.4
2024-09-02,26.2,1008.9,13.2,17.3,22.9,27.0,24.8
2024-10-02,23.8,1011.4,9.0,15.7,24.3,26.2,19.0
2024-11-02,25.3,1014.5,15.5,20.2,23.7,26.4,20.8
2024-12-02,29.7,1009.6,12.4,18.6,25.3,33.3,25.5
2024-02-13,32.2,992.6,16.6,31.7,50.5,35.2,27.1
2024-02-14,22.5,998.7,21.3,35.2,48.4,31.3,19.0
2024-02-15,14.6,1003.2,17.8,30.1,50.1,30.6,8.8
2024-02-16,15.4,1012.6,8.6,12.8,32.6,19.0,9.3
2024-02-17,17.7,1019.9,7.3,13.4,23.9,25.0,9.5
2024-02-18,28.6,1014.3,4.1,14.2,19.0,31.6,21.7
2024-02-19,32.5,1005.3,9.1,18.6,24.9,33.3,28.0
2024-02-20,34.0,995.3,13.6,19.4,26.0,34.9,31.8
2024-02-21,33.6,985.4,12.5,19.0,25.1,34.9,30.6
2024-02-22,35.3,979.3,9.9,18.3,26.0,36.7,30.6
2024-02-23,31.7,983.5,23.4,34.6,52.4,36.1,29.1
2024-02-24,24.7,991.5,28.5,34.2,49.3,31.3,22.3
2024-02-25,20.5,999.2,11.6,18.5,30.7,23.5,16.2
2024-02-26,30.1,988.6,11.4,22.0,30.3,32.9,16.2
2024-02-27,32.5,970.9,6.5,29.3,37.3,36.3,27.7
2024-02-28,13.4,981.2,22.0,37.1,55.9,33.8,8.4
2024-02-29,14.8,988.7,11.9,21.0,35.0,18.1,10.2
2024-01-03,22.3,999.0,24.2,32.2,44.3,26.4,15.3
