absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,date,velocity_km_s,miss_distance_km,year_discovered,name_neo,classType_FLR,halfAngle_CME,speed_CME,type_CME,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
19.37,355.26708829999995,794.4013596,2024-01-02,15890.526422300001,50452409349.02664,2001,XY10,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
19.37,355.26708829999995,794.4013596,2024-01-02,15890.526422300001,50452409349.02664,2001,XY10,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
19.37,355.26708829999995,794.4013596,2024-01-02,15890.526422300001,50452409349.02664,2001,XY10,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.0,16.7708462,37.5007522,2024-01-02,10719.1818981,19798169933.318188,2003,SR84,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.0,16.7708462,37.5007522,2024-01-02,10719.1818981,19798169933.318188,2003,SR84,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.0,16.7708462,37.5007522,2024-01-02,10719.1818981,19798169933.318188,2003,SR84,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.62,199.7813652,446.7247133,2024-01-02,15670.2817644,24984732559.1945,2005,YQ96,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.62,199.7813652,446.7247133,2024-01-02,15670.2817644,24984732559.1945,2005,YQ96,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.62,199.7813652,446.7247133,2024-01-02,15670.2817644,24984732559.1945,2005,YQ96,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.1,101.0543415,225.9643771,2024-01-02,6080.8661718,73609796924.99081,2009,HC21,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.1,101.0543415,225.9643771,2024-01-02,6080.8661718,73609796924.99081,2009,HC21,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.1,101.0543415,225.9643771,2024-01-02,6080.8661718,73609796924.99081,2009,HC21,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.1,16.0160338,35.8129403,2024-01-02,8741.3828775,35275514131.77048,2010,XA11,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.1,16.0160338,35.8129403,2024-01-02,8741.3828775,35275514131.77048,2010,XA11,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.1,16.0160338,35.8129403,2024-01-02,8741.3828775,35275514131.77048,2010,XA11,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.94,43.3066885,96.8366995,2024-01-02,5807.0023218,10545147184.234997,2011,YP10,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.94,43.3066885,96.8366995,2024-01-02,5807.0023218,10545147184.234997,2011,YP10,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.94,43.3066885,96.8366995,2024-01-02,5807.0023218,10545147184.234997,2011,YP10,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.05,259.7496533,580.8178819999999,2024-01-02,11022.794300399999,24597313435.094097,2012,SD22,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.05,259.7496533,580.8178819999999,2024-01-02,11022.794300399999,24597313435.094097,2012,SD22,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.05,259.7496533,580.8178819999999,2024-01-02,11022.794300399999,24597313435.094097,2012,SD22,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
21.87,112.34531770000001,251.2117673,2024-01-02,18993.6426332,30107678451.49672,2017,YD8,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
21.87,112.34531770000001,251.2117673,2024-01-02,18993.6426332,30107678451.49672,2017,YD8,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
21.87,112.34531770000001,251.2117673,2024-01-02,18993.6426332,30107678451.49672,2017,YD8,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.79,73.5453089,164.4523102,2024-01-02,20833.1302779,3904096678.005315,2019,KK5,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.79,73.5453089,164.4523102,2024-01-02,20833.1302779,3904096678.005315,2019,KK5,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
22.79,73.5453089,164.4523102,2024-01-02,20833.1302779,3904096678.005315,2019,KK5,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.63,198.8634532,444.67219969999996,2024-01-02,15670.2896005,24984795046.2248,2005,YQ96,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.63,198.8634532,444.67219969999996,2024-01-02,15670.2896005,24984795046.2248,2005,YQ96,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.63,198.8634532,444.67219969999996,2024-01-02,15670.2896005,24984795046.2248,2005,YQ96,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
25.68,19.4336768,43.455022500000005,2024-01-02,5300.031760399999,16252312970.794676,2023,AW,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
25.68,19.4336768,43.455022500000005,2024-01-02,5300.031760399999,16252312970.794676,2023,AW,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
25.68,19.4336768,43.455022500000005,2024-01-02,5300.031760399999,16252312970.794676,2023,AW,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.05,41.167545700000005,92.05343069999999,2024-01-02,11325.9084311,21691678389.30169,2023,XZ4,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.9,27.8326768,62.2357573,2024-01-02,12219.5715368,1729961781.388961,2023,YR,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
27.41,8.761026099999999,19.59025,2024-01-02,21432.1092699,610571843.293909,2024,AA,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
26.38,14.078454299999999,31.4803809,2024-01-02,8831.4719331,17553928179.055237,2022,OY78,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.72,47.9242116,107.1617948,2024-01-02,15469.545140999999,6556678638.970726,2024,AQ1,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
20.54,207.2788434,463.4895841,2024-01-02,16000.245466999999,28794164527.8521,2024,AA2,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,31.0,462000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
23.6,50.647145900000005,113.25046110000001,2024-01-02,13043.3070531,7878470456.033288,2024,AR3,M1.1,15.0,206000.0,S,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
24.49,33.616692099999995,75.1692087,2024-01-02,5851.6481506,36368802562.623245,2024,BK1,M1.1,40.0,617000.0,C,33.3,1006.9,6.4,15.3,20.6,34.5,31.1
