date,classType_FLR
2024-01-01,M2.3
2024-01-01,M4.7
2024-01-02,M1.1
2024-01-04,M1.1
2024-01-04,M3.8
2024-01-06,C3.3
2024-01-06,C3.8
2024-01-06,C4.1
2024-01-06,C4.0
2024-01-10,M1.4
2024-01-10,C6.5
2024-01-10,C5.6
2024-01-10,M1.9
2024-01-11,M1.3
2024-01-11,M1.5
2024-01-11,M1.2
2024-01-12,M1.0
2024-01-14,C9.6
2024-01-20,C3.5
2024-01-21,C4.0
2024-01-21,C5.3
2024-01-22,M1.5
2024-01-22,M1.1
2024-01-22,M1.2
2024-01-22,M2.0
2024-01-22,M3.4
2024-01-22,M1.6
2024-01-22,M2.1
2024-01-23,M5.1
2024-01-23,C9.6
2024-01-23,M2.4
2024-01-23,M2.3
2024-01-23,C6.2
2024-01-23,M1.0
2024-01-23,M1.3
2024-01-23,M4.3
2024-01-23,M1.0
2024-01-23,M1.1
2024-01-23,M1.0
2024-01-23,M1.0
2024-01-24,M1.0
2024-01-24,M2.6
2024-01-24,M1.4
2024-01-24,C6.8
2024-01-24,M1.3
2024-01-28,C3.0
2024-01-29,M1.2
2024-01-29,M6.8
2024-01-30,C1.9
2024-02-01,C3.0
2024-02-02,M1.1
2024-02-02,C5.6
2024-02-02,C3.0
2024-02-02,C3.1
2024-02-04,M1.4
2024-02-04,M1.5
2024-02-04,M1.3
2024-02-04,M1.1
2024-02-04,M1.2
2024-02-04,M2.1
2024-02-04,M2.7
2024-02-05,M2.1
2024-02-05,M1.4
2024-02-06,M2.2
2024-02-06,M4.2
2024-02-06,M1.3
2024-02-07,M5.1
2024-02-07,M1.3
2024-02-08,M3.4
2024-02-08,M1.2
2024-02-08,M1.8
2024-02-08,C6.1
2024-02-08,M1.3
2024-02-08,M3.9
2024-02-09,M3.1
2024-02-09,X3.3
2024-02-09,M1.2
2024-02-10,M1.5
2024-02-10,M3.4
2024-02-10,M9.0
2024-02-11,M1.0
2024-02-12,M6.5
2024-02-12,M1.1
2024-02-12,M1.4
2024-02-12,M2.6
2024-02-13,C5.0
2024-02-14,M1.0
2024-02-14,M1.0
2024-02-15,M1.8
2024-02-16,X2.5
2024-02-16,C6.1
2024-02-16,M3.0
2024-02-19,C3.8
2024-02-21,C4.1
2024-02-21,X1.8
2024-02-21,M1.5
2024-02-22,X1.7
2024-02-22,C9.4
2024-02-22,M4.8
2024-02-22,X6.3
2024-02-23,M1.0
2024-02-23,M1.4
2024-02-23,M1.0
2024-02-23,M2.6
2024-02-24,M4.5
2024-02-24,M2.2
2024-02-24,M3.6
2024-02-24,M1.0
2024-02-25,M2.0
2024-02-28,C5.1
2024-02-28,M1.5
