id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,date,velocity_km_s,miss_distance_km,classType_FLR,halfAngle_CME,speed_CME,type_CME,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,2024-01-02,15.8905264223,50452409.34902664,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,2024-01-02,15.8905264223,50452409.34902664,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,2024-01-02,15.8905264223,50452409.34902664,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,2024-01-02,10.7191818981,19798169.933318187,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,2024-01-02,10.7191818981,19798169.933318187,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,2024-01-02,10.7191818981,19798169.933318187,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,2024-01-02,15.6702817644,24984732.5591945,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,2024-01-02,15.6702817644,24984732.5591945,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,2024-01-02,15.6702817644,24984732.5591945,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3457842,(2009 HC21),22.1,0.1010543415,0.2259643771,2024-01-02,6.0808661718,73609796.92499082,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3457842,(2009 HC21),22.1,0.1010543415,0.2259643771,2024-01-02,6.0808661718,73609796.92499082,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3457842,(2009 HC21),22.1,0.1010543415,0.2259643771,2024-01-02,6.0808661718,73609796.92499082,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,2024-01-02,8.7413828775,35275514.13177048,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,2024-01-02,8.7413828775,35275514.13177048,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,2024-01-02,8.7413828775,35275514.13177048,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3591616,(2011 YP10),23.94,0.0433066885,0.0968366995,2024-01-02,5.8070023218,10545147.184234997,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3591616,(2011 YP10),23.94,0.0433066885,0.0968366995,2024-01-02,5.8070023218,10545147.184234997,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3591616,(2011 YP10),23.94,0.0433066885,0.0968366995,2024-01-02,5.8070023218,10545147.184234997,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3608936,(2012 SD22),20.05,0.2597496533,0.580817882,2024-01-02,11.0227943004,24597313.435094096,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3608936,(2012 SD22),20.05,0.2597496533,0.580817882,2024-01-02,11.0227943004,24597313.435094096,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3608936,(2012 SD22),20.05,0.2597496533,0.580817882,2024-01-02,11.0227943004,24597313.435094096,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,2024-01-02,18.9936426332,30107678.45149672,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,2024-01-02,18.9936426332,30107678.45149672,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,2024-01-02,18.9936426332,30107678.45149672,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3842680,(2019 KK5),22.79,0.0735453089,0.1644523102,2024-01-02,20.8331302779,3904096.678005315,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3842680,(2019 KK5),22.79,0.0735453089,0.1644523102,2024-01-02,20.8331302779,3904096.678005315,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3842680,(2019 KK5),22.79,0.0735453089,0.1644523102,2024-01-02,20.8331302779,3904096.678005315,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,2024-01-02,15.6702896005,24984795.0462248,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,2024-01-02,15.6702896005,24984795.0462248,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,2024-01-02,15.6702896005,24984795.0462248,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54338714,(2023 AW),25.68,0.0194336768,0.0434550225,2024-01-02,5.3000317604,16252312.970794676,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54338714,(2023 AW),25.68,0.0194336768,0.0434550225,2024-01-02,5.3000317604,16252312.970794676,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54338714,(2023 AW),25.68,0.0194336768,0.0434550225,2024-01-02,5.3000317604,16252312.970794676,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54415081,(2023 XZ4),24.05,0.0411675457,0.0920534307,2024-01-02,11.3259084311,21691678.389301687,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54415081,(2023 XZ4),24.05,0.0411675457,0.0920534307,2024-01-02,11.3259084311,21691678.389301687,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54415081,(2023 XZ4),24.05,0.0411675457,0.0920534307,2024-01-02,11.3259084311,21691678.389301687,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54417653,(2023 YR),24.9,0.0278326768,0.0622357573,2024-01-02,12.2195715368,1729961.781388961,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54417653,(2023 YR),24.9,0.0278326768,0.0622357573,2024-01-02,12.2195715368,1729961.781388961,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54417653,(2023 YR),24.9,0.0278326768,0.0622357573,2024-01-02,12.2195715368,1729961.781388961,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418497,(2024 AA),27.41,0.0087610261,0.01959025,2024-01-02,21.4321092699,610571.843293909,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418497,(2024 AA),27.41,0.0087610261,0.01959025,2024-01-02,21.4321092699,610571.843293909,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418497,(2024 AA),27.41,0.0087610261,0.01959025,2024-01-02,21.4321092699,610571.843293909,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418796,(2022 OY78),26.38,0.0140784543,0.0314803809,2024-01-02,8.8314719331,17553928.179055236,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418796,(2022 OY78),26.38,0.0140784543,0.0314803809,2024-01-02,8.8314719331,17553928.179055236,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54418796,(2022 OY78),26.38,0.0140784543,0.0314803809,2024-01-02,8.8314719331,17553928.179055236,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419485,(2024 AQ1),23.72,0.0479242116,0.1071617948,2024-01-02,15.469545141,6556678.638970726,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419485,(2024 AQ1),23.72,0.0479242116,0.1071617948,2024-01-02,15.469545141,6556678.638970726,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419485,(2024 AQ1),23.72,0.0479242116,0.1071617948,2024-01-02,15.469545141,6556678.638970726,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419601,(2024 AA2),20.54,0.2072788434,0.4634895841,2024-01-02,16.000245467,28794164.5278521,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419601,(2024 AA2),20.54,0.2072788434,0.4634895841,2024-01-02,16.000245467,28794164.5278521,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54419601,(2024 AA2),20.54,0.2072788434,0.4634895841,2024-01-02,16.000245467,28794164.5278521,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54420153,(2024 AR3),23.6,0.0506471459,0.1132504611,2024-01-02,13.0433070531,7878470.456033288,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54420153,(2024 AR3),23.6,0.0506471459,0.1132504611,2024-01-02,13.0433070531,7878470.456033288,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54420153,(2024 AR3),23.6,0.0506471459,0.1132504611,2024-01-02,13.0433070531,7878470.456033288,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54421393,(2024 BK1),24.49,0.0336166921,0.0751692087,2024-01-02,5.8516481506,36368802.56262325,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54421393,(2024 BK1),24.49,0.0336166921,0.0751692087,2024-01-02,5.8516481506,36368802.56262325,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54421393,(2024 BK1),24.49,0.0336166921,0.0751692087,2024-01-02,5.8516481506,36368802.56262325,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2669051,669051 (2012 SD22),20.06,0.2585562121,0.5781492662,2024-01-02,11.0227939342,24597309.769946285,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2669051,669051 (2012 SD22),20.06,0.2585562121,0.5781492662,2024-01-02,11.0227939342,24597309.769946285,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
2669051,669051 (2012 SD22),20.06,0.2585562121,0.5781492662,2024-01-02,11.0227939342,24597309.769946285,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54444997,(2024 KY),26.41,0.0138852907,0.0310484539,2024-01-02,6.2809825165,35127451.53983093,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54444997,(2024 KY),26.41,0.0138852907,0.0310484539,2024-01-02,6.2809825165,35127451.53983093,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54444997,(2024 KY),26.41,0.0138852907,0.0310484539,2024-01-02,6.2809825165,35127451.53983093,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54445206,(2024 KJ1),26.2,0.0152951935,0.0342010925,2024-01-02,4.9851096001,16030952.32936526,M1.1,40.0,617.0,C,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54445206,(2024 KJ1),26.2,0.0152951935,0.0342010925,2024-01-02,4.9851096001,16030952.32936526,M1.1,31.0,462.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
54445206,(2024 KJ1),26.2,0.0152951935,0.0342010925,2024-01-02,4.9851096001,16030952.32936526,M1.1,15.0,206.0,S,20.9,986.9,13.0,22.7,41.4,24.1,18.0
3724393,(2015 OD22),21.21,0.152249185,0.3404395273,2024-01-01,25.3931645932,65417380.10969937,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
3724393,(2015 OD22),21.21,0.152249185,0.3404395273,2024-01-01,25.3931645932,65417380.10969937,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
3797695,(2018 BA),25.0,0.02658,0.0594346868,2024-01-01,16.7051869184,59256680.300714485,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
3797695,(2018 BA),25.0,0.02658,0.0594346868,2024-01-01,16.7051869184,59256680.300714485,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
3986699,(2020 BC),26.2,0.0152951935,0.0342010925,2024-01-01,8.3141771772,25070662.218993343,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
3986699,(2020 BC),26.2,0.0152951935,0.0342010925,2024-01-01,8.3141771772,25070662.218993343,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54200446,(2021 SG2),25.54,0.0207278843,0.0463489584,2024-01-01,19.2601228725,71794479.50579,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54200446,(2021 SG2),25.54,0.0207278843,0.0463489584,2024-01-01,19.2601228725,71794479.50579,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54235663,(2022 AO2),24.19,0.0385971268,0.0863057993,2024-01-01,19.5135931126,55049570.13010699,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54235663,(2022 AO2),24.19,0.0385971268,0.0863057993,2024-01-01,19.5135931126,55049570.13010699,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54418438,(2023 YR1),25.68,0.0194336768,0.0434550225,2024-01-01,13.2957757989,2484569.266358826,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54418438,(2023 YR1),25.68,0.0194336768,0.0434550225,2024-01-01,13.2957757989,2484569.266358826,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54418650,(2023 YY1),25.77,0.0186446818,0.041690776,2024-01-01,6.4760794463,4058906.896831003,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54418650,(2023 YY1),25.77,0.0186446818,0.041690776,2024-01-01,6.4760794463,4058906.896831003,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54419698,(2024 AV2),26.62,0.012605352,0.0281864239,2024-01-01,8.0634840678,1452237.374876451,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54419698,(2024 AV2),26.62,0.012605352,0.0281864239,2024-01-01,8.0634840678,1452237.374876451,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54421384,(2024 AA6),25.12,0.0251509837,0.0562393094,2024-01-01,7.1243393888,7351471.447855092,M2.3,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
54421384,(2024 AA6),25.12,0.0251509837,0.0562393094,2024-01-01,7.1243393888,7351471.447855092,M4.7,26.0,416.0,S,26.6,1016.6,13.1,21.0,27.8,32.9,17.4
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M1.1,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M1.1,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M1.1,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M1.1,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M3.8,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M3.8,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M3.8,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.10050602,M3.8,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M1.1,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M1.1,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M1.1,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M1.1,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M3.8,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M3.8,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M3.8,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336,M3.8,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3759758,(2016 SU2),27.6,0.0080270317,0.0179489885,2024-01-04,17.1238660723,24656351.157384932,M1.1,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3759758,(2016 SU2),27.6,0.0080270317,0.0179489885,2024-01-04,17.1238660723,24656351.157384932,M1.1,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
3759758,(2016 SU2),27.6,0.0080270317,0.0179489885,2024-01-04,17.1238660723,24656351.157384932,M1.1,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
