id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,2024-01-02,15.8905264223,50452409.349026638
3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,2024-01-02,10.7191818981,19798169.933318188
3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,2024-01-02,15.6702817644,24984732.559194501
3457842,(2009 HC21),22.1,0.1010543415,0.2259643771,2024-01-02,6.0808661718,73609796.924990823
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,2024-01-02,8.7413828775,35275514.131770482
3591616,(2011 YP10),23.94,0.0433066885,0.0968366995,2024-01-02,5.8070023218,10545147.184234998
3608936,(2012 SD22),20.05,0.2597496533,0.580817882,2024-01-02,11.0227943004,24597313.435094098
3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,2024-01-02,18.9936426332,30107678.451496722
3842680,(2019 KK5),22.79,0.0735453089,0.1644523102,2024-01-02,20.8331302779,3904096.678005315
2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,2024-01-02,15.6702896005,24984795.0462248
54338714,(2023 AW),25.68,0.0194336768,0.0434550225,2024-01-02,5.3000317604,16252312.970794675
54415081,(2023 XZ4),24.05,0.0411675457,0.0920534307,2024-01-02,11.3259084311,21691678.389301689
54417653,(2023 YR),24.9,0.0278326768,0.0622357573,2024-01-02,12.2195715368,1729961.781388961
54418497,(2024 AA),27.41,0.0087610261,0.01959025,2024-01-02,21.4321092699,610571.843293909
54418796,(2022 OY78),26.38,0.0140784543,0.0314803809,2024-01-02,8.8314719331,17553928.179055236
54419485,(2024 AQ1),23.72,0.0479242116,0.1071617948,2024-01-02,15.469545141,6556678.638970726
54419601,(2024 AA2),20.54,0.2072788434,0.4634895841,2024-01-02,16.000245467,28794164.527852101
54420153,(2024 AR3),23.6,0.0506471459,0.1132504611,2024-01-02,13.0433070531,7878470.456033288
54421393,(2024 BK1),24.49,0.0336166921,0.0751692087,2024-01-02,5.8516481506,36368802.562623248
2669051,669051 (2012 SD22),20.06,0.2585562121,0.5781492662,2024-01-02,11.0227939342,24597309.769946283
54444997,(2024 KY),26.41,0.0138852907,0.0310484539,2024-01-02,6.2809825165,35127451.539830931
54445206,(2024 KJ1),26.2,0.0152951935,0.0342010925,2024-01-02,4.9851096001,16030952.32936526
3724393,(2015 OD22),21.21,0.152249185,0.3404395273,2024-01-01,25.3931645932,65417380.109699369
3797695,(2018 BA),25.0,0.02658,0.0594346868,2024-01-01,16.7051869184,59256680.300714493
3986699,(2020 BC),26.2,0.0152951935,0.0342010925,2024-01-01,8.3141771772,25070662.218993342
54200446,(2021 SG2),25.54,0.0207278843,0.0463489584,2024-01-01,19.2601228725,71794479.505789998
54235663,(2022 AO2),24.19,0.0385971268,0.0863057993,2024-01-01,19.5135931126,55049570.130106991
54418438,(2023 YR1),25.68,0.0194336768,0.0434550225,2024-01-01,13.2957757989,2484569.266358826
54418650,(2023 YY1),25.77,0.0186446818,0.041690776,2024-01-01,6.4760794463,4058906.896831003
54419698,(2024 AV2),26.62,0.012605352,0.0281864239,2024-01-01,8.0634840678,1452237.374876451
54421384,(2024 AA6),25.12,0.0251509837,0.0562393094,2024-01-01,7.1243393888,7351471.447855092
2450293,450293 (2004 LV3),18.83,0.4555698523,1.0186851583,2024-01-04,23.7178883208,37629939.100506025
3541505,(2010 PJ),22.14,0.0992098919,0.2218400624,2024-01-04,18.4122352237,48751391.89816336
3759758,(2016 SU2),27.6,0.0080270317,0.0179489885,2024-01-04,17.1238660723,24656351.157384934
54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,2024-01-04,20.3051702926,67952893.524466717
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.239222317
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956
54416853,(2023 XS13),24.27,0.037201031,0.0831840342,2024-01-04,6.9046151731,23231366.086325531
54418649,(2024 AD),28.76,0.0047049496,0.0105205872,2024-01-04,9.9004210563,242675.944338495
54419602,(2024 AB2),26.83,0.0114433973,0.0255882143,2024-01-04,7.0037707416,744109.783557929
2096590,96590 (1998 XB),16.28,1.474195145,3.2964005564,2024-01-03,10.2563505817,40361230.81390855
3154493,(2003 JV14),21.39,0.1401376972,0.3133574171,2024-01-03,13.6603242742,39218727.406507018
3440771,(2008 WZ94),20.26,0.235806068,0.5272783976,2024-01-03,14.4225755627,72128922.747930048
3591759,(2011 YE40),25.2,0.0242412481,0.0542050786,2024-01-03,13.0832838643,17737010.465498401
3595775,(2012 AB11),22.32,0.0913177026,0.2041925905,2024-01-03,18.3613912555,42945020.553389349
3605578,(2012 LJ2),21.74,0.1192765246,0.2667104172,2024-01-03,17.3904977402,72656389.982481557
3645001,(2013 NT11),19.47,0.3392774354,0.7586474087,2024-01-03,37.8521096416,58024781.095745581
3751529,(2016 GZ215),21.08,0.1616422833,0.3614431336,2024-01-03,3.7257304746,47416427.494974327
3787600,(2017 UJ2),30.9,0.0017561232,0.0039268108,2024-01-03,5.6646429678,41723362.160370009
3789479,(2017 WQ1),24.98,0.0268259417,0.0599846292,2024-01-03,21.6521650376,58770868.084431726
3837605,(2019 AE3),27.4,0.0088014652,0.0196806745,2024-01-03,8.5121919111,32886309.79750948
3986746,(2020 BG1),22.08,0.1019893859,0.2280551997,2024-01-03,8.5169042448,65717561.101271189
54048870,(2020 OU),22.23,0.095182033,0.212833496,2024-01-03,9.9486934797,53503979.181454653
54278142,(2022 JM),28.8,0.0046190746,0.0103285648,2024-01-03,4.2043854371,24915574.929952627
54339170,(2023 AE2),25.09,0.0255008688,0.0570216761,2024-01-03,11.2855377655,62234185.289850385
54382904,(2023 RM9),22.63,0.0791689667,0.1770271912,2024-01-03,12.9687880565,63970228.434091864
54407115,(2023 WQ1),21.7,0.1214940408,0.2716689341,2024-01-03,5.9212184218,33143995.883491017
54415862,(2023 XN7),21.91,0.1102947845,0.2466266358,2024-01-03,13.9569847431,36285724.088628737
54419016,(2024 AS),25.21,0.0241298697,0.0539560289,2024-01-03,7.3946974298,9293487.461979703
54419705,(2024 AA3),25.76,0.0187307418,0.0418832119,2024-01-03,10.7365146763,5207160.128285559
54419812,(2024 AH3),25.67,0.0195233786,0.0436556017,2024-01-03,9.8836904204,2692217.677265319
54419817,(2024 AM3),26.6,0.0127219879,0.0284472297,2024-01-03,9.6391324361,2680032.137885108
54425076,(2024 BB8),21.37,0.1414343753,0.3162568776,2024-01-03,12.1295509121,69506951.398405528
