id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,close_approach_date,velocity_km_s,miss_distance_km
3542555,(2010 PQ10),21.62,0.1260535197,0.2818642388,2024-02-24,21.7622329371,70946694.568616597
3742874,(2016 CG137),24.2,0.0384197891,0.0859092601,2024-02-24,11.4415095496,49785030.586879333
3744693,(2016 DF),27.1,0.0101054342,0.0225964377,2024-02-24,3.0974917742,10297072.537004156
3836115,(2018 VD5),28.0,0.0066765941,0.0149293183,2024-02-24,21.1792755218,59103184.688131217
54219796,(2021 VP12),24.61,0.0318093633,0.0711278987,2024-02-24,10.4429332943,62345513.945293992
54224414,(2021 WR1),23.84,0.0453476699,0.1014004725,2024-02-24,3.7177226444,59769859.891495912
54248180,(2022 DN),22.86,0.0712122941,0.1592355304,2024-02-24,31.5977948957,66735929.886602652
54429636,(2024 EU),23.95,0.0431077124,0.0963917753,2024-02-24,11.2730715513,26888801.757132356
3341510,(2006 RH2),27.2,0.0096506147,0.0215794305,2024-02-18,6.5483451916,23711727.031024433
3601342,(2012 EZ11),21.54,0.1307841086,0.2924421572,2024-02-18,10.3688410088,41172239.298871353
3743123,(2016 CA138),23.29,0.0584191154,0.1306291133,2024-02-18,14.3452133322,9644325.718124746
3803884,(2018 GG5),19.83,0.2874451443,0.6427468824,2024-02-18,44.8669160902,45697860.358946461
3840791,(2019 GM1),27.25,0.0094309399,0.0210882227,2024-02-18,3.4570904169,19618137.932484536
54226416,(2021 XT1),28.6,0.0050647146,0.0113250461,2024-02-18,20.0489643477,71958074.650094418
54235525,(2022 AP1),28.39,0.0055789822,0.0124749835,2024-02-18,21.2268751248,47640372.738803732
54245592,(2022 CB3),30.53,0.002082356,0.0046562895,2024-02-18,23.4790333614,33005601.472774252
54358779,(2023 JR4),26.84,0.0113908197,0.0254706471,2024-02-18,8.985536093,65914357.607888947
54421915,(2024 BE2),23.87,0.0447254765,0.1000092059,2024-02-18,8.4591735036,12791189.588219992
54423324,(2024 BG5),21.24,0.1501602479,0.3357685218,2024-02-18,11.6884440741,58630388.922678002
54425075,(2024 BC8),25.4,0.022108281,0.0494356193,2024-02-18,10.4954418519,2382504.833009644
54425952,(2024 CC2),24.28,0.0370301078,0.0828018383,2024-02-18,10.2959506141,25424899.71273946
54426072,(2024 CH2),26.02,0.0166170902,0.0371569432,2024-02-18,9.588164242,2181465.865436769
54427172,(2024 CA8),24.32,0.0363542322,0.0812905344,2024-02-18,26.079004996,2917178.226878627
54427945,(2024 DY),29.02,0.0041740243,0.0093334022,2024-02-18,11.8165432381,171619.544131646
54429642,(2024 EB1),22.84,0.0718712133,0.1607089186,2024-02-18,19.791035188,22182880.542041621
54430151,(2024 EU2),24.82,0.0288771931,0.0645713667,2024-02-18,12.6287766053,4986386.164822923
54430242,(2024 EY2),22.01,0.1053307015,0.2355266087,2024-02-18,23.3294728081,10912469.73439385
2163243,163243 (2002 FB3),16.47,1.3506877983,3.0202297334,2024-02-19,15.0506746994,46991829.275996221
2225586,225586 (2000 WS67),18.51,0.527904029,1.1804292945,2024-02-19,27.3672365157,53825559.101144883
3402642,(2008 CE119),25.7,0.0192555078,0.0430566244,2024-02-19,11.0732049258,35417406.245406356
3559782,(2011 EK47),24.3,0.0366906138,0.0820427065,2024-02-19,17.0450402552,41673348.765029266
3648865,(2013 TR5),19.22,0.3806755436,0.8512163929,2024-02-19,28.6528418631,53483024.469251421
3724206,(2015 OH),19.87,0.2821986791,0.6310154296,2024-02-19,9.1114954013,66848580.942337698
3802388,(2018 GB),24.96,0.0270741591,0.0605396602,2024-02-19,8.0952794336,31525978.532298157
3830851,(2018 SD1),24.6,0.0319561887,0.0714562102,2024-02-19,18.9163012852,24858488.098524674
54249326,(2022 DC5),22.93,0.0689532874,0.154184238,2024-02-19,6.0248438329,32315649.244751806
54254426,(2022 EV4),26.74,0.0119276525,0.0266710417,2024-02-19,17.7477101214,50824199.385256661
54276977,(2022 HH3),19.75,0.2982325052,0.6668681546,2024-02-19,35.0906400946,51132911.315043527
54301300,(2022 RT1),31.46,0.0013569223,0.0030341705,2024-02-19,27.6268973562,55352746.340312377
54375205,(2023 OA),26.45,0.0136318556,0.0304817558,2024-02-19,6.3342283624,42652606.922584521
54390827,(2023 TX),29.66,0.0031085294,0.006950883,2024-02-19,3.8401612259,49095688.284332664
54423513,(2024 BD6),22.01,0.1053307015,0.2355266087,2024-02-19,28.9156722401,27590440.795156007
54425073,(2024 CP1),25.78,0.0185590173,0.0414992243,2024-02-19,5.6777781171,15869671.449149953
54426236,(2024 CC3),24.28,0.0370301078,0.0828018383,2024-02-19,11.7820762444,29028184.156000703
54426885,(2024 CJ6),26.51,0.0132603497,0.0296510433,2024-02-19,15.4044631926,1760157.707534212
54427180,(2024 DC),26.72,0.0120380177,0.0269178258,2024-02-19,9.2517057292,4789011.53723655
54427298,(2024 CV8),26.25,0.0149470324,0.0334225806,2024-02-19,17.1027045666,450492.29381385
54428357,(2024 DN1),24.47,0.0339277435,0.0758647409,2024-02-19,15.0431732599,14735863.148666005
54429990,(2024 EU1),25.12,0.0251509837,0.0562393094,2024-02-19,2.9203769002,10304319.252304187
