STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001099999,01-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.6,24,20.5,24,1016.6,24,15.4,24,15.5,4,13.1,24,21,27.8,32.9, ,17.4, ,0.01,G,999.9,0
1001099999,02-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",33.3,24,30.9,24,1006.9,24,5.7,24,6.2,4,6.4,24,15.3,20.6,34.5, ,31.1, ,99.99, ,999.9,111000
1001099999,03-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.7,24,27.2,24,1006.9,24,5.7,24,14.8,4,14,24,22.5,30.1,34.3, ,25.3, ,0,G,999.9,0
1001099999,04-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",19.5,24,14.8,24,1010.4,24,9.2,24,7.5,4,17.5,24,25.6,32.1,28.8, ,14.7, ,0,G,999.9,1000
1001099999,05-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.6,24,16.5,24,1010.3,24,9.1,24,9.2,4,11.9,24,22,31.9,26.6,*,16, ,0.06,G,999.9,1000
1001099999,06-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.6,24,17,24,1016.2,24,15,24,10.3,4,7.4,24,20.8,25.4,22.8, ,16, ,0.03,G,999.9,1000
1001099999,07-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",27,24,21.7,24,1020.1,24,18.9,24,8.7,4,9.8,24,20.4,24.7,34.7, ,17.1, ,0.01,G,999.9,11000
1001099999,08-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",40.1,24,35.4,24,1015.5,24,14.3,24,5.9,4,17.1,24,23.3,38.1,45.5, ,32.9, ,0.05,G,999.9,10000
1001099999,09-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.6,24,31.5,24,1022.9,24,21.7,24,8.4,4,11.2,24,23.5,37.1,42.1, ,29.7, ,0,G,999.9,10000
1001099999,10-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26,24,23.9,24,1029.8,24,28.6,24,5.7,4,9.7,24,20.4,37.1,41.9, ,20.3, ,0.01,G,999.9,10000
1001099999,11-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",36.3,24,32.7,24,1024.8,24,23.6,24,7.6,4,21.1,24,29.5,46.2,40.5, ,24.8, ,0,G,999.9,10000
1001099999,12-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.7,24,21.3,24,1011.7,24,10.5,24,3.9,4,20.9,24,34.2,49.7,35.4, ,11.3, ,0.01,G,999.9,10000
1001099999,13-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",17,22,14,22,1019.2,22,18,22,1.9,4,29.6,22,36.3,58.7,24.4, ,10, ,0.06,G,999.9,1000
1001099999,14-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",13.6,11,6.6,11,1025.6,11,24.3,11,2.5,4,24.2,11,28.6,45.8,18.5, ,11.5, ,0.2,G,999.9,1000
1001099999,15-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",17.3,14,10,14,1014.3,14,13.1,14,1.9,4,25,14,32.8,46.6,21, ,12.9, ,0.02,G,999.9,1000
1001099999,16-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.9,17,18.5,17,1010.3,17,9.1,17,7.5,4,27.7,17,36.1,57.7,27.7, ,17.8, ,0.17,G,999.9,1000
1001099999,17-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.4,20,15.5,20,1007.8,20,6.6,20,3.6,4,19.6,20,26.8,37.7,25.3, ,16.9, ,0.03,G,999.9,11001
1001099999,18-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.7,24,22.3,24,1002.5,24,1.3,24,4.9,4,20.4,24,30.5,43.1,29.5, ,19.6, ,0.19,G,999.9,1000
1001099999,19-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.3,24,13.5,24,1003.2,24,2,24,17.9,4,9.5,24,18.6,28.4,28.4, ,18, ,0,G,999.9,0
1001099999,20-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",30.6,24,28.7,24,988.8,24,987.6,24,4.3,4,14.4,24,20.8,29.5,33.1, ,22.8, ,0.03,G,999.9,1000
1001099999,21-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.6,24,31.1,24,967.1,24,966,24,2.1,4,14.4,24,27.2,35.7,34.9, ,30.6, ,0.13,G,999.9,10000
1001099999,22-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.2,24,20.8,24,969.6,24,968.5,24,7.8,4,17.9,24,28,46.2,32.5, ,19, ,0.1,G,999.9,11000
1001099999,23-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.3,23,19.9,23,982.2,23,981,23,7.6,4,14.2,23,24.9,46,31.5, ,21.4, ,0.01,G,999.9,1000
1001099999,24-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28.2,24,24.5,24,987.8,24,986.6,24,13.2,4,6.3,24,15.2,26.6,33.8, ,19.9, ,0.02,G,999.9,0
1001099999,25-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.9,24,33.5,24,984.6,24,983.4,24,2,4,16.6,24,28.9,38.1,37.4, ,32.4, ,0,G,999.9,0
1001099999,26-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32,23,28.4,23,974.8,23,973.6,23,8.9,4,18.6,23,31.9,44.7,37.4, ,25.5, ,0.27,G,999.9,11000
1001099999,27-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.1,24,24.9,24,972,24,970.9,24,10.3,4,24.5,24,32.1,41.6,34, ,23.5, ,0.19,G,999.9,11000
1001099999,28-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.4,24,18.9,24,976.2,24,975,24,8.1,4,15.6,24,26.2,38.9,27.1, ,21.7, ,0.09,G,999.9,1000
1001099999,29-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.1,24,16.8,24,983.8,24,982.6,24,5.7,4,13.8,24,21.6,40.2,27.5, ,19.4, ,0.01,G,999.9,1000
